#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.9506071552471357e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.5648807802734898e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3060790081548831e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.0784660644954396e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.8411135693398791e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.0323911955525818e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.2992509341271466e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.1888778481302641e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.0199495273971091e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,4.3764903793792341e-08
