#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.8505157133283416e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.5679258915914336e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3051394469995134e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.0115701826273078e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.6426370882771784e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.1168988723203192e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.3001162240138989e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.3966122236293377e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-7.2257196575515179e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-5.2559542431624705e-08
