#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.8328106657126945e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.5970443661455886e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.2713028676499289e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.0041524449174232e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.2161478438779492e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.6159217902549617e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.4507864971698309e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.1563636397106756e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-4.3853793753806086e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,2.1863302385695505e-08
