#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.9546209683366962e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.6201535056677874e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.4062386736364785e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.1121740268577800e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.1477752541026974e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.6935980537415541e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.1160050231485086e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-3.2921005939568114e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.1595118243515430e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-2.4900983740679018e-08
