#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.0035086122987539e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.7293568477131198e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.4496847253480706e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.1736382575896936e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.7148721185025339e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-7.5731532176925333e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.6822730802147867e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-3.0982117978890885e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.3807985900954007e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-4.9748411060535928e-08
