#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.6984079552137442e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.4397120406260726e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.2144817191199380e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-9.7238432700178724e-07
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.0200625537958261e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.3346613613819113e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.3430174146501996e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-1.9112857442290058e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-8.4314658301802644e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-5.3255086226451317e-08
