#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.0478665878229174e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.5987626277616835e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.4027513443635546e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.0616978588596116e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.7469192064806330e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.6437277049656751e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.3584321344898689e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.6777915289379528e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-8.3947779045709270e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-3.9624915298092284e-08
