#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.0965246263709944e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.7943268066916364e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.4614587639923026e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.2000503977892847e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.8701516858123190e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.5754935322009150e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.1685092452386573e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.8488209095183247e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.6961196810974856e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-3.7257207631524985e-08
