#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.0129925226694260e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.5969215769604130e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3815170342705410e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.1649453344533144e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.6579051282945238e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.5072537713337340e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.2160300866233902e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.3168382498981083e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.2494932843784360e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-7.2017739506539132e-08
