#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.0456001642119523e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.8295755793889769e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.4861799815888338e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.1676691418948133e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-9.8898241695906209e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.6164259189123469e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.6657881300383422e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.9997613697643489e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-9.5449260879302163e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-1.4956218231583455e-08
