#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.7794851497366056e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.5749636243257809e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.2784628630810119e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-9.4870426682888212e-07
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.2549823118660710e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.8659749160640923e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-2.9914137598619938e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.5455878454936858e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.1539745872355568e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-6.4143964366945787e-08
