#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.0293120923660534e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.6877006273114631e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3447881669998217e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.0731982268804131e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-9.0045255539169508e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.5998281077521645e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.0691550690550638e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-1.8165511538643617e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-6.1200219219485473e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-2.6073308831946970e-08
