#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.1025938591243964e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.7714743813802100e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.4630786853316268e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.2286425030608662e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-9.5972037876018254e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.6922873947512084e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-5.0908824070282446e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-3.1389546144281921e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.3607790621316213e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,5.5111884746124106e-08
