#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.0573277657664534e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.7224460125218238e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.4128888004068095e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.1273735201613700e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.3020213954223750e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.3153517198237167e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.6453963629023627e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.6477896390152720e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.5609021175136901e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-2.6553198223341515e-08
