kind,sample_id,alpha,status,seconds,u_0,max_rel_dev,spurious
grid,,0.2,ok,0.006491100000857841,-9.470241283422625e-06,2.473576898864849e-13,False
grid,,0.20904522613065327,ok,0.0047481000001425855,-9.060471227888915e-06,1.3677947663381929e-13,False
grid,,0.21809045226130655,ok,0.005781399995612446,-8.684691315209312e-06,1.1435297153639112e-13,False
grid,,0.2271356783919598,ok,0.0053659999975934625,-8.33884077610903e-06,2.4424906541753444e-15,False
grid,,0.2361809045226131,ok,0.004663200001232326,-8.019480916597797e-06,8.171241461241152e-14,False
grid,,0.24522613065326634,ok,0.0055911999952513725,-7.723680390986635e-06,5.440092820663267e-14,False
grid,,0.2542713567839196,ok,0.00656679999519838,-7.448924962057116e-06,9.869882688917642e-14,False
grid,,0.2633165829145729,ok,0.005176300001039635,-7.193045860307167e-06,8.415490526658687e-14,False
grid,,0.2723618090452261,ok,0.007871699999668635,-6.9541624184517135e-06,1.1790568521519162e-13,False
grid,,0.2814070351758794,ok,0.005472199998621363,-6.730635769287628e-06,5.340172748447003e-14,False
grid,,0.2904522613065327,ok,0.005244200001470745,-6.521031195157981e-06,1.0658141036401503e-14,False
grid,,0.29949748743718596,ok,0.004979700002877507,-6.324087300001681e-06,7.194245199571014e-14,False
grid,,0.3085427135678392,ok,0.0061749999949825,-6.138690603910973e-06,1.709743457922741e-14,False
grid,,0.31758793969849247,ok,0.005048899998655543,-5.96385447911646e-06,8.748557434046234e-14,False
grid,,0.3266331658291457,ok,0.0064098000002559274,-5.798701585848085e-06,4.6629367034256575e-15,False
grid,,0.335678391959799,ok,0.005373100000724662,-5.642449147906172e-06,1.3100631690576847e-14,False
grid,,0.34472361809045227,ok,0.0047598000019206665,-5.494396546358241e-06,1.2745360322696797e-13,False
grid,,0.35376884422110555,ok,0.0047257999976864085,-5.353914816479091e-06,1.9984014443252818e-15,False
grid,,0.36281407035175883,ok,0.0053952000016579404,-5.220437715791336e-06,1.9095836023552692e-14,False
grid,,0.37185929648241206,ok,0.004596499995386694,-5.093454095677879e-06,9.481304630298837e-14,False
grid,,0.38090452261306534,ok,0.005052000000432599,-4.9725013598960454e-06,1.865174681370263e-14,False
grid,,0.38994974874371857,ok,0.004386399996292312,-4.857159833506647e-06,3.0531133177191805e-14,False
grid,,0.39899497487437185,ok,0.005772699994849972,-4.747047897734714e-06,2.375877272697835e-14,False
grid,,0.40804020100502514,ok,0.005048500002885703,-4.641817771922919e-06,3.6415315207705135e-14,False
grid,,0.4170854271356784,ok,0.0048060999979497865,-4.54115184433929e-06,8.970602038971265e-14,False
grid,,0.42613065326633165,ok,0.00455629999487428,-4.44475947028447e-06,1.1324274851176597e-14,False
grid,,0.43517587939698493,ok,0.004397199998493306,-4.352374169516231e-06,5.762057497804562e-14,False
grid,,0.44422110552763816,ok,0.0046575000014854595,-4.263751166064603e-06,4.3520742565306136e-14,False
grid,,0.45326633165829144,ok,0.006211899999470916,-4.178665222618004e-06,4.418687638008123e-14,False
grid,,0.4623115577889447,ok,0.00652540000010049,-4.096908729132244e-06,1.0391687510491465e-13,False
grid,,0.471356783919598,ok,0.004865700000664219,-4.018290011515309e-06,2.3092638912203256e-14,False
grid,,0.48040201005025124,ok,0.004985100000340026,-3.942631831382361e-06,7.016609515630989e-14,False
grid,,0.4894472361809045,ok,0.004429000000527594,-3.869770052157542e-06,4.596323321948148e-14,False
grid,,0.4984924623115578,ok,0.004648600006476045,-3.799552450404705e-06,5.1514348342607263e-14,False
grid,,0.507537688442211,ok,0.0051562000007834285,-3.731837654258634e-06,1.3988810110276972e-14,False
grid,,0.5165829145728643,ok,0.0050277999980608,-3.666494193386645e-06,5.262457136723242e-14,False
grid,,0.5256281407035176,ok,0.005568100001255516,-3.6033996470377126e-06,4.618527782440651e-14,False
grid,,0.5346733668341708,ok,0.004466999998840038,-3.542439878572591e-06,9.769962616701378e-15,False
grid,,0.543718592964824,ok,0.005528499998035841,-3.4835083463967364e-06,1.2212453270876722e-15,False
grid,,0.5527638190954773,ok,0.004709599998022895,-3.4265054825467893e-06,5.1736392947532295e-14,False
grid,,0.5618090452261306,ok,0.003914499997335952,-3.3713381313070793e-06,1.0880185641326534e-14,False
grid,,0.5708542713567839,ok,0.004964300002029631,-3.3179190411983014e-06,6.661338147750939e-16,False
grid,,0.5798994974874372,ok,0.006586200004676357,-3.2661664045070867e-06,2.5202062658991053e-14,False
grid,,0.5889447236180905,ok,0.004688699998951051,-3.2160034392501048e-06,3.9745984281580604e-14,False
grid,,0.5979899497487438,ok,0.004372300005343277,-3.167358009076581e-06,3.7414515929867775e-14,False
grid,,0.607035175879397,ok,0.0047807000009925105,-3.1201622771532016e-06,5.4289905904170155e-14,False
grid,,0.6160804020100503,ok,0.00435740000102669,-3.0743523905394008e-06,8.659739592076221e-15,False
grid,,0.6251256281407035,ok,0.004168100000242703,-3.0298681919624928e-06,1.7985612998927536e-14,False
grid,,0.6341708542713568,ok,0.004872899997280911,-2.986652956260853e-06,2.0317081350640365e-14,False
grid,,0.6432160804020101,ok,0.00434780000068713,-2.9446531490634052e-06,3.0309088572266774e-14,False
grid,,0.6522613065326632,ok,0.004514699998253491,-2.9038182055479925e-06,5.551115123125783e-15,False
grid,,0.6613065326633165,ok,0.005246100001386367,-2.8641003273565368e-06,1.8762769116165146e-14,False
grid,,0.6703517587939698,ok,0.0061634000012418255,-2.8254542959529186e-06,2.1094237467877974e-14,False
grid,,0.6793969849246231,ok,0.0043653999964590184,-2.78783730088856e-06,1.5765166949677223e-14,False
grid,,0.6884422110552764,ok,0.004716000003099907,-2.7512087816068724e-06,3.774758283725532e-14,False
grid,,0.6974874371859296,ok,0.004663699997763615,-2.715530281557106e-06,2.55351295663786e-15,False
grid,,0.7065326633165829,ok,0.0045193999976618215,-2.680765313514419e-06,0.0,False
grid,,0.7155778894472362,ok,0.004471799999009818,-2.6468792351133357e-06,3.108624468950438e-14,False
grid,,0.7246231155778895,ok,0.004418299999088049,-2.613839133704085e-06,4.6629367034256575e-15,False
grid,,0.7336683417085428,ok,0.005026099999668077,-2.581613719726935e-06,1.3988810110276972e-14,False
grid,,0.7427135678391961,ok,0.004131500005314592,-2.5501732278762904e-06,3.0531133177191805e-14,False
grid,,0.7517587939698491,ok,0.004971400005160831,-2.519489325401837e-06,3.3306690738754696e-14,False
grid,,0.7608040201005024,ok,0.004357199999503791,-2.4895350269494217e-06,3.9968028886505635e-14,False
grid,,0.7698492462311557,ok,0.00360549999459181,-2.4602846154055e-06,1.2656542480726785e-14,False
grid,,0.778894472361809,ok,0.004313400000683032,-2.431713568258894e-06,3.3306690738754696e-15,False
grid,,0.7879396984924623,ok,0.005621299998892937,-2.403798489031362e-06,2.5979218776228663e-14,False
grid,,0.7969849246231155,ok,0.005005500002880581,-2.3765170433803226e-06,2.1538326677728037e-14,False
grid,,0.8060301507537688,ok,0.004573400001390837,-2.34984789950203e-06,4.551914400963142e-15,False
grid,,0.8150753768844221,ok,0.004490200000873301,-2.323770672504005e-06,5.906386491005833e-14,False
grid,,0.8241206030150754,ok,0.004387300003145356,-2.2982658724398358e-06,1.532107773982716e-14,False
grid,,0.8331658291457287,ok,0.0045629000014741905,-2.2733148557306456e-06,3.6637359812630166e-14,False
grid,,0.842211055276382,ok,0.004183600001852028,-2.2488997797143117e-06,2.2870594307278225e-14,False
grid,,0.8512562814070352,ok,0.005164499998500105,-2.225003560095287e-06,3.8191672047105385e-14,False
grid,,0.8603015075376885,ok,0.004484600001887884,-2.2016098310754664e-06,1.965094753586527e-14,False
grid,,0.8693467336683416,ok,0.0043341999989934266,-2.1787029079776484e-06,1.554312234475219e-14,False
grid,,0.8783919597989949,ok,0.004404299994348548,-2.156267752174741e-06,4.618527782440651e-14,False
grid,,0.8874371859296482,ok,0.004375299999082927,-2.134289938166041e-06,1.1879386363489175e-14,False
