kind,sample_id,alpha,status,seconds,u_0,max_rel_dev,spurious
grid,,0.2,ok,0.0059885000009671785,-9.470241283422625e-06,2.469136006766348e-13,False
grid,,0.20904522613065327,ok,0.005834399999002926,-9.060471227888915e-06,1.3655743202889425e-13,False
grid,,0.21809045226130655,ok,0.00562789999821689,-8.684691315209309e-06,1.1513012765362873e-13,False
grid,,0.2271356783919598,ok,0.004932299998472445,-8.33884077610903e-06,1.9984014443252818e-15,False
grid,,0.2361809045226131,ok,0.010209200001554564,-8.019480916597798e-06,8.182343691487404e-14,False
grid,,0.24522613065326634,ok,0.01150939999934053,-7.723680390986635e-06,5.395683899678261e-14,False
grid,,0.2542713567839196,ok,0.006488699997134972,-7.4489249620571125e-06,9.947598300641403e-14,False
grid,,0.2633165829145729,ok,0.004690499998105224,-7.1930458603071734e-06,8.359979375427429e-14,False
grid,,0.2723618090452261,ok,0.005134699997142889,-6.954162418451716e-06,1.1790568521519162e-13,False
grid,,0.2814070351758794,ok,0.004917300000670366,-6.73063576928762e-06,5.484501741648273e-14,False
grid,,0.2904522613065327,ok,0.005626999998639803,-6.521031195157984e-06,1.0880185641326534e-14,False
grid,,0.29949748743718596,ok,0.005073300002550241,-6.324087300001681e-06,7.227551890309769e-14,False
grid,,0.3085427135678392,ok,0.004795100001501851,-6.138690603910974e-06,1.687538997430238e-14,False
grid,,0.31758793969849247,ok,0.005471799995575566,-5.963854479116458e-06,8.681944052568724e-14,False
grid,,0.3266331658291457,ok,0.010014999999839347,-5.798701585848081e-06,5.773159728050814e-15,False
grid,,0.335678391959799,ok,0.030123399999865796,-5.64244914790617e-06,1.2656542480726785e-14,False
grid,,0.34472361809045227,ok,0.009572399998432957,-5.49439654635824e-06,1.270095140171179e-13,False
grid,,0.35376884422110555,ok,0.008027500000025611,-5.353914816479089e-06,1.3322676295501878e-15,False
grid,,0.36281407035175883,ok,0.019035400000575464,-5.220437715791338e-06,1.9095836023552692e-14,False
grid,,0.37185929648241206,ok,0.007903500001702923,-5.093454095677878e-06,9.43689570931383e-14,False
grid,,0.38090452261306534,ok,0.008003000002645422,-4.972501359896048e-06,1.84297022087776e-14,False
grid,,0.38994974874371857,ok,0.00842959999863524,-4.8571598335066444e-06,3.141931159689193e-14,False
grid,,0.39899497487437185,ok,0.007053799999994226,-4.747047897734712e-06,2.3092638912203256e-14,False
grid,,0.40804020100502514,ok,0.008469200001854915,-4.641817771922917e-06,3.574918139293004e-14,False
grid,,0.4170854271356784,ok,0.007189299998572096,-4.541151844339287e-06,8.859579736508749e-14,False
grid,,0.42613065326633165,ok,0.019949200002884027,-4.4447594702844675e-06,1.2212453270876722e-14,False
grid,,0.43517587939698493,ok,0.009314799994172063,-4.352374169516231e-06,5.795364188543317e-14,False
grid,,0.44422110552763816,ok,0.0076216000015847385,-4.263751166064603e-06,4.3853809472693683e-14,False
grid,,0.45326633165829144,ok,0.006866299998364411,-4.178665222618005e-06,4.418687638008123e-14,False
grid,,0.4623115577889447,ok,0.005403600000136066,-4.0969087291322425e-06,1.0325074129013956e-13,False
grid,,0.471356783919598,ok,0.005310999993525911,-4.018290011515311e-06,2.3092638912203256e-14,False
grid,,0.48040201005025124,ok,0.01899490000505466,-3.942631831382361e-06,6.972200594645983e-14,False
grid,,0.4894472361809045,ok,0.009410599996044766,-3.869770052157542e-06,4.551914400963142e-14,False
grid,,0.4984924623115578,ok,0.007516500001656823,-3.7995524504047057e-06,5.1514348342607263e-14,False
grid,,0.507537688442211,ok,0.005546899999899324,-3.7318376542586364e-06,1.3655743202889425e-14,False
grid,,0.5165829145728643,ok,0.06681250000110595,-3.666494193386646e-06,5.240252676230739e-14,False
grid,,0.5256281407035176,ok,0.011692100000800565,-3.6033996470377092e-06,4.5075054799781356e-14,False
grid,,0.5346733668341708,ok,0.0053372000038507394,-3.5424398785725928e-06,9.658940314238862e-15,False
grid,,0.543718592964824,ok,0.008074700002907775,-3.4835083463967377e-06,1.2212453270876722e-15,False
grid,,0.5527638190954773,ok,0.004953400006343145,-3.4265054825467897e-06,5.1514348342607263e-14,False
grid,,0.5618090452261306,ok,0.00855040000169538,-3.3713381313070797e-06,1.0880185641326534e-14,False
grid,,0.5708542713567839,ok,0.005630700004985556,-3.3179190411982993e-06,1.6653345369377348e-15,False
grid,,0.5798994974874372,ok,0.010198600000876468,-3.266166404507087e-06,2.5424107263916085e-14,False
grid,,0.5889447236180905,ok,0.007427500000630971,-3.2160034392501048e-06,4.0190073491430667e-14,False
