#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.9769401426715999e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.6975190813539585e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.4145629571324166e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.2049006387144495e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.8133969657388349e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.9572748724872449e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.1254311569909392e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.7786635057659389e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-9.6851229348817361e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-6.1850931736700199e-08
