#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.7101070994480139e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.4909723288725663e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.2901178660731984e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-9.9156669447294789e-07
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.3315028948254198e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.0579589633645867e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.2424496471590436e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-1.8116825643922155e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-9.0204201611247846e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,2.8919691838915315e-10
