#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.6347417029123725e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.3539707368106751e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.1129933254950560e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-9.5917543757623440e-07
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.0353186160209852e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-4.8320798146814529e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.2457130307860462e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.4894620517559455e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.1675250616998397e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-2.1288512067454233e-08
