#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.7063369314377969e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.4333715429411315e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.1789595950682994e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-9.9164601777139705e-07
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.5567093137055344e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.6146733431795110e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.9088469993998721e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.2965537502040758e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-8.3750697024497522e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-8.2605005169207222e-09
