#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.8557803391111672e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.6555059363063881e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3691396368042529e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.0850856636060832e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.4224651756550496e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.5723652996009828e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.0193746124683462e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-1.8035435820897129e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-9.0139407134404056e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,8.1719755769392741e-09
