#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.1367197331405403e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.8384702840868004e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.5352350286857055e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.1711825495535003e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-9.3025858268005841e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.2680994352476554e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.1931019654803708e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.1856579158592078e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.0753571951683422e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-3.3110520026014450e-08
