#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.0103915059305257e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.7141564302434033e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3367908425476617e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.0972042229290191e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.9124094247789155e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.6251846925819956e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.1988910996291953e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-1.8382058396002107e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.3749475917731978e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-5.3414988859702722e-08
