#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.9337491833674802e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.6203617395662710e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3532812618176190e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.1068547337521512e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.7076710017225270e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.4459554771278371e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.5038554739733087e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.1657677833370942e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.9189328519828275e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,2.8093318201969965e-08
