#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.7672028998595782e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.4081555684377639e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3127104925125073e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-9.8316852294628119e-07
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.4130467380711801e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-4.9520100487280644e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.3324486124236984e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-1.9722889356788650e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-9.4018070756063201e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-3.2899931615716784e-08
