#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.0688057915046922e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.8412687589639902e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.4669694598858541e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.2102783627813957e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.9550431125006108e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.7255830638785329e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.6513768282754950e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.7025129382037159e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.3134344919862266e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-3.7802680554103558e-08
