#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.8967798539779045e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.6443113760625835e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3450158061882706e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.1285670562826767e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.9187993808224675e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.4650953569348868e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.4941698362639296e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-3.4632161409499811e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-9.8408134943712295e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-5.6326828385794626e-08
