#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.0363660631702434e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.7586746480640532e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.4088997619168448e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.1681479411022189e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-9.1737537224033471e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.9364005298741377e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.6388580176768938e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.6971388369417124e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.8271763649582666e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-6.6849467747633411e-08
