#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.1318864403219655e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.7901258418481276e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.4948074799526834e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.1845477156313163e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-9.0437746528390476e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.8736574335662375e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-5.0752881333832733e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-3.2937563921939266e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.3716714883683963e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-4.0922387670075511e-08
