#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.7008047684743700e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.4775353737515295e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.2599343503243205e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-9.7176355360666743e-07
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.9739227635130630e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.2677319021024589e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.0574276149373645e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.0566799566035371e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.2270224962448527e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-2.5596330760524125e-08
