case_name,status,z_value,weight,alpha_true,E_true,u_true,measurement,measurement_noise_sigma,number_of_posterior_samples,number_of_forward_solves,alpha_posterior_mean,alpha_posterior_sd,alpha_posterior_median,alpha_ci_2_5,alpha_ci_97_5,E_posterior_mean,E_posterior_sd,E_posterior_median,E_ci_2_5,E_ci_97_5,error_message
point_1_low,ok,-1.7320508075688772,0.16666666666666666,0.8267949192431123,171063868791.39993,-2.2908319978798716e-06,-2.2908319978798716e-06,3.788097e-08,1000,10000,0.8268463140520987,0.01296618550602023,0.826628678907143,0.801707245737047,0.8523051957642171,171074502377.37918,2682703781.195586,171029473665.88788,165873229142.99503,176341945003.61652,
point_2_central,ok,0.0,0.6666666666666666,1.0,206900000000.0,-1.894048256682899e-06,-1.894048256682899e-06,3.788097e-08,1000,10000,1.0013429461670393,0.020055915346809648,1.0002894991445317,0.9612195799609196,1.0416642224996862,207177855561.96045,4149568885.254916,206959897373.0036,198876331093.91425,215520327635.18506,
point_3_high,ok,1.7320508075688772,0.16666666666666666,1.1732050807568877,242736131208.60007,-1.614422139622153e-06,-1.614422139622153e-06,3.788097e-08,1000,10000,1.1751546668874857,0.026159503944002634,1.1746313759059301,1.1254506436091942,1.2260770235335385,243139500579.02078,5412401366.014145,243031231674.93695,232855738162.74228,253675336169.0891,
