#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.4261257912634349e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-2.0623875686403469e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.6310845071325663e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.2828736136263353e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-1.0341925321845522e-06
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.5762492437646883e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.9873937965140545e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.9519280608037755e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.3238245134030469e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-7.9784816220631023e-09
