#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.8585189938934398e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.6067789696974741e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3121812271829836e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.0946112205053362e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.5145962798787399e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.5879267928734711e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.7627766193330883e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.1369492790858607e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.3386677979976322e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-2.9427941386333370e-08
