#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.2806115573051772e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.9008394523085830e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.5601700070446302e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.2374329039040222e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-9.6950015504589439e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.7856008302795695e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.5740262949901677e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.3654399039565152e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.2032673786072792e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-2.4869292721738516e-08
