#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.9339883335389590e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.6360611993507526e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3122533939593348e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.0754451270094300e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.3978257822910198e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.4607333718251834e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.4477564294684335e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.2679080537931233e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.4109048865555546e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-5.7636596929244415e-08
