#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.7913111638030032e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.5226689380652245e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.2189046567295622e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.0169404932243273e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.1186402767402845e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.7734542057631177e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.6249301169500242e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.4791228446251909e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-5.9531267743274920e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,6.2022823823524480e-09
