#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.8750459135863933e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.6569500650601313e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3509766251953206e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.0671884691670945e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.5125034592898676e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.3496323704116168e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.2134338625839602e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.7222831786974559e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.3918811100506882e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-5.1918301555452617e-08
