#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-2.0059506222020095e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.7115549990847835e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.4225793248335059e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.1958499207832858e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.6974429447007466e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.1954305077168995e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.2460138178440594e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.5818941245462947e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.1096128212457143e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-5.0616232540781584e-09
