#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.5051153283958430e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.3059851458596024e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.1023161243892181e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-8.0094917944140668e-07
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-7.1570572082870038e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-5.0811160356879417e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.1543481925945352e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-1.7250752098802561e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.1313472303433802e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-9.1541635618339438e-08
