sample_id,phase1_kind,repeat,E_true,alpha_true,status,seconds,match,max_rel_err,u_disp_y_tip,expected_disp_y_tip,phase1_disp_y_tip
59,failed,1,202115764419.64166,0.9768765800852666,failed: RuntimeError: Error: THE MATRIX IS STRUCTURALLY SINGULAR ... ZERO COLUMN AT 132 in applications/LinearSolversApplication/custom_solvers/eigen_sparse_lu_solver.h:53: EigenSparseLUSolver<double>::Compute kratos/solving_strategies/builder_and_solvers/residualbased_block_builder_and_solver.h:489,0.15961300000344636,False,nan,nan,-1.9388818355317987e-06,nan
59,failed,2,202115764419.64166,0.9768765800852666,failed: RuntimeError: Error: THE MATRIX IS STRUCTURALLY SINGULAR ... ZERO COLUMN AT 132 in applications/LinearSolversApplication/custom_solvers/eigen_sparse_lu_solver.h:53: EigenSparseLUSolver<double>::Compute kratos/solving_strategies/builder_and_solvers/residualbased_block_builder_and_solver.h:489,0.013233000005129725,False,nan,nan,-1.9388818355317987e-06,nan
162,wrong,1,233987956262.8456,1.130922939888089,ok,0.01960010000038892,False,0.14517932493782548,-1.917924579550395e-06,-1.6747810039746601e-06,-1.917924579550395e-06
162,wrong,2,233987956262.8456,1.130922939888089,ok,0.026090400002431124,False,0.14517932493782548,-1.917924579550395e-06,-1.6747810039746601e-06,-1.917924579550395e-06
212,wrong,1,204062819891.7348,0.9862871913568623,ok,0.045506800001021475,False,0.9915892094738216,-1.615193147902935e-08,-1.920382088789021e-06,-1.615193147902935e-08
212,wrong,2,204062819891.7348,0.9862871913568623,ok,0.01865209999959916,False,0.9915892094738216,-1.615193147902935e-08,-1.920382088789021e-06,-1.615193147902935e-08
221,wrong,1,204442317858.7496,0.9881214009606071,ok,0.015428299993800465,False,1.2071833302443848,3.971326044368858e-07,-1.9168173615533876e-06,3.971326044368858e-07
221,wrong,2,204442317858.7496,0.9881214009606071,ok,0.01531990000512451,False,1.2071833302443848,3.971326044368858e-07,-1.9168173615533876e-06,3.971326044368858e-07
271,wrong,1,193648963007.94327,0.9359543886319153,ok,0.01531240000622347,False,0.872006061685238,-2.590155019044436e-07,-2.0236544426617613e-06,-2.590155019044436e-07
271,wrong,2,193648963007.94327,0.9359543886319153,ok,0.01462589999573538,False,0.872006061685238,-2.590155019044436e-07,-2.0236544426617613e-06,-2.590155019044436e-07
396,failed,1,205106906257.4463,0.991333524685579,failed: RuntimeError: Error: THE MATRIX IS STRUCTURALLY SINGULAR ... ZERO COLUMN AT 132 in applications/LinearSolversApplication/custom_solvers/eigen_sparse_lu_solver.h:53: EigenSparseLUSolver<double>::Compute kratos/solving_strategies/builder_and_solvers/residualbased_block_builder_and_solver.h:489,0.011006700005964376,False,nan,nan,-1.910606480583296e-06,nan
396,failed,2,205106906257.4463,0.991333524685579,failed: RuntimeError: Error: THE MATRIX IS STRUCTURALLY SINGULAR ... ZERO COLUMN AT 132 in applications/LinearSolversApplication/custom_solvers/eigen_sparse_lu_solver.h:53: EigenSparseLUSolver<double>::Compute kratos/solving_strategies/builder_and_solvers/residualbased_block_builder_and_solver.h:489,0.021871500000997912,False,nan,nan,-1.910606480583296e-06,nan
444,wrong,1,226531057760.2613,1.094881864476855,ok,0.016441300002043135,False,0.9377796530998437,-1.07635666824026e-07,-1.7299110690711298e-06,-1.07635666824026e-07
444,wrong,2,226531057760.2613,1.094881864476855,ok,0.014060900000913534,False,0.9377796530998437,-1.07635666824026e-07,-1.7299110690711298e-06,-1.07635666824026e-07
585,wrong,1,180331663291.49875,0.8715885127670312,ok,0.0181319999974221,False,1.0967174933940522,2.10176702733565e-07,-2.173099150504766e-06,2.10176702733565e-07
585,wrong,2,180331663291.49875,0.8715885127670312,ok,0.023150399996666238,False,1.0967174933940522,2.10176702733565e-07,-2.173099150504766e-06,2.10176702733565e-07
586,wrong,1,184429645032.60278,0.8913950944060067,ok,0.013843599997926503,False,0.8546541230961403,-3.0883286939039163e-07,-2.1248134172713536e-06,-3.0883286939039163e-07
586,wrong,2,184429645032.60278,0.8913950944060067,ok,0.013685899997653905,False,0.8546541230961403,-3.0883286939039163e-07,-2.1248134172713536e-06,-3.0883286939039163e-07
622,wrong,1,208218226572.89746,1.006371322246967,ok,0.014224999998987187,False,1.0115464965696852,2.173116544079187e-08,-1.8820570646377602e-06,2.173116544079187e-08
622,wrong,2,208218226572.89746,1.006371322246967,ok,0.013927699998021126,False,1.0115464965696852,2.173116544079187e-08,-1.8820570646377602e-06,2.173116544079187e-08
634,wrong,1,237199172850.3083,1.1464435613838004,ok,0.014312899998913053,False,1.0358275777792474,5.9191017787283176e-08,-1.6521077185845597e-06,5.9191017787283176e-08
634,wrong,2,237199172850.3083,1.1464435613838004,ok,0.01563989999704063,False,1.0358275777792474,5.9191017787283176e-08,-1.6521077185845597e-06,5.9191017787283176e-08
654,wrong,1,209774202787.3816,1.0138917486098675,ok,0.015648000000510365,False,0.9907061570349838,-1.736180128688966e-08,-1.8680971210986285e-06,-1.736180128688966e-08
654,wrong,2,209774202787.3816,1.0138917486098675,ok,0.01604149999911897,False,0.9907061570349838,-1.736180128688966e-08,-1.8680971210986285e-06,-1.736180128688966e-08
659,wrong,1,182846082996.81577,0.8837413387956297,ok,0.015776400003232993,False,0.8880096214273798,-2.400195305901347e-07,-2.1432156373549e-06,-2.400195305901347e-07
659,wrong,2,182846082996.81577,0.8837413387956297,ok,0.020034700006362982,False,0.8880096214273798,-2.400195305901347e-07,-2.1432156373549e-06,-2.400195305901347e-07
690,wrong,1,204541311436.33405,0.9885998619445822,ok,0.017220000001543667,False,0.9392057123054872,-1.1647514738432859e-07,-1.915889663344827e-06,-1.1647514738432859e-07
690,wrong,2,204541311436.33405,0.9885998619445822,ok,0.01628540000092471,False,0.9392057123054872,-1.1647514738432859e-07,-1.915889663344827e-06,-1.1647514738432859e-07
772,wrong,1,234238934011.0299,1.132135978786998,ok,0.01672619999590097,False,0.885860132752477,-1.9095446185705852e-07,-1.672986542405519e-06,-1.9095446185705852e-07
772,wrong,2,234238934011.0299,1.132135978786998,ok,0.014759100005903747,False,0.885860132752477,-1.9095446185705852e-07,-1.672986542405519e-06,-1.9095446185705852e-07
843,wrong,1,157045022306.64978,0.7590382905106321,ok,0.015943799997330643,False,0.9738945228040625,-6.514168546042557e-08,-2.495326362797263e-06,-6.514168546042557e-08
843,wrong,2,157045022306.64978,0.7590382905106321,ok,0.014066399999137502,False,0.9738945228040625,-6.514168546042557e-08,-2.495326362797263e-06,-6.514168546042557e-08
982,wrong,1,220844300439.3464,1.0673963288513602,ok,0.015273000004526693,False,1.8379398527822757,1.4868877421341746e-06,-1.774456409009725e-06,1.4868877421341746e-06
982,wrong,2,220844300439.3464,1.0673963288513602,ok,0.01471740000124555,False,1.8379398527822757,1.4868877421341746e-06,-1.774456409009725e-06,1.4868877421341746e-06
