equation_id,node,x,y,z,variable,fixed,K_diag,null_vector
67,12,0.5,0.1,0.0,ROTATION_Y,True,63030150903.330215,1.2478299643570168e-14
68,12,0.5,0.1,0.0,ROTATION_Z,False,874065088.0191935,-0.19446189056923088
69,12,0.5,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,0.009713379373424907
70,12,0.5,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.05209479045382873
71,12,0.5,0.1,0.0,DISPLACEMENT_Z,True,38797333586666.94,4.7704895589362195e-18
72,13,0.6,0.0,0.0,ROTATION_X,True,49237995344.61461,8.257283745649602e-15
73,13,0.6,0.0,0.0,ROTATION_Y,True,49237995344.61463,-1.4482772620061368e-14
74,13,0.6,0.0,0.0,ROTATION_Z,False,708712467.4874812,-0.2204349594634153
75,13,0.6,0.0,0.0,DISPLACEMENT_X,False,350177721430.0261,-0.010936728070543168
76,13,0.6,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.0728798358543328
77,13,0.6,0.0,0.0,DISPLACEMENT_Z,True,37018145519592.625,-1.1796119636642288e-16
78,14,0.6,0.1,0.0,ROTATION_X,True,76822306462.04578,-3.1780134079895106e-15
79,14,0.6,0.1,0.0,ROTATION_Y,True,76822306462.0458,-5.235395450498004e-15
80,14,0.6,0.1,0.0,ROTATION_Z,False,1039417708.5509058,-0.22070779943634028
81,14,0.6,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,0.011009246331896627
82,14,0.6,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.07276956667683197
83,14,0.6,0.1,0.0,DISPLACEMENT_Z,True,40576521653741.25,-2.7755575615628914e-17
84,15,0.7,0.0,0.0,ROTATION_X,True,76822306462.0458,9.055256544598933e-15
85,15,0.7,0.0,0.0,ROTATION_Y,True,76822306462.04579,1.4016565685892601e-14
86,15,0.7,0.0,0.0,ROTATION_Z,False,1039417708.5509063,-0.24205510391278856
87,15,0.7,0.0,0.0,DISPLACEMENT_X,False,350177721430.02606,-0.012019855531676085
88,15,0.7,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0262,-0.09591151788218233
89,15,0.7,0.0,0.0,DISPLACEMENT_Z,True,40576521653741.234,-8.673617379884035e-18
90,16,0.7,0.1,0.0,ROTATION_X,True,49237995344.61464,-1.4960255256823984e-14
91,16,0.7,0.1,0.0,ROTATION_Y,True,49237995344.61461,-4.14815751192954e-16
92,16,0.7,0.1,0.0,ROTATION_Z,False,708712467.4874816,-0.242252110049251
93,16,0.7,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,0.012081778083988717
94,16,0.7,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0262,-0.0959898833478298
95,16,0.7,0.1,0.0,DISPLACEMENT_Z,True,37018145519592.61,-1.1102230246251565e-16
96,17,0.8,0.0,0.0,ROTATION_X,True,49237995344.61464,1.096345236817342e-15
97,17,0.8,0.0,0.0,ROTATION_Y,True,49237995344.61461,3.316791286067655e-15
98,17,0.8,0.0,0.0,ROTATION_Z,False,708712467.4874816,-0.2584738146787432
99,17,0.8,0.0,0.0,DISPLACEMENT_X,False,350177721430.0261,-0.012828779019556605
100,17,0.8,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0262,-0.1209892568917246
101,17,0.8,0.0,0.0,DISPLACEMENT_Z,True,37018145519592.61,-8.326672684688674e-17
102,18,0.8,0.1,0.0,ROTATION_X,True,76822306462.0458,0.0
103,18,0.8,0.1,0.0,ROTATION_Y,True,76822306462.04579,1.6653345369377348e-16
104,18,0.8,0.1,0.0,ROTATION_Z,False,1039417708.5509064,-0.258222789886167
105,18,0.8,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,0.012889633674870608
106,18,0.8,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0262,-0.12093462634811897
107,18,0.8,0.1,0.0,DISPLACEMENT_Z,True,40576521653741.234,-6.599058919306235e-23
108,19,0.9,0.0,0.0,ROTATION_X,True,76822306462.04578,7.607577354725133e-29
109,19,0.9,0.0,0.0,ROTATION_Y,True,76822306462.04579,2.465190328815662e-32
110,19,0.9,0.0,0.0,ROTATION_Z,False,1039417708.5509058,-0.2689700853032816
111,19,0.9,0.0,0.0,DISPLACEMENT_X,False,350177721430.0261,-0.013362632633664093
112,19,0.9,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.14730058315594197
113,19,0.9,0.0,0.0,DISPLACEMENT_Z,True,40576521653741.25,3.874870190691818e-35
114,20,0.9,0.1,0.0,ROTATION_X,True,49237995344.61461,1.5336286882042614e-32
115,20,0.9,0.1,0.0,ROTATION_Y,True,49237995344.61463,-7.600094222284886e-33
116,20,0.9,0.1,0.0,ROTATION_Z,False,708712467.4874812,-0.26927782823436397
117,20,0.9,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,0.013427480455581717
118,20,0.9,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.14733478057161556
119,20,0.9,0.1,0.0,DISPLACEMENT_Z,True,37018145519592.625,-1.1101016000860437e-33
120,21,1.0,0.0,0.0,ROTATION_X,True,24618997672.307304,-1.9342683870331907e-32
121,21,1.0,0.0,0.0,ROTATION_Y,True,24618997672.307316,1.5872767259065544e-33
122,21,1.0,0.0,0.0,ROTATION_Z,False,354356233.7437406,-0.2777869470048351
123,21,1.0,0.0,0.0,DISPLACEMENT_X,False,175088860715.01306,-0.013706390100414422
124,21,1.0,0.0,0.0,DISPLACEMENT_Y,False,175088860715.01306,-0.17459821233999268
125,21,1.0,0.0,0.0,DISPLACEMENT_Z,True,18509072759796.312,0.0
126,22,1.0,0.1,0.0,ROTATION_X,True,38411153231.02289,0.0
127,22,1.0,0.1,0.0,ROTATION_Y,True,38411153231.0229,0.0
128,22,1.0,0.1,0.0,ROTATION_Z,False,519708854.2754529,-0.27450546663214886
129,22,1.0,0.1,0.0,DISPLACEMENT_X,False,175088860715.01306,0.013686359549943686
130,22,1.0,0.1,0.0,DISPLACEMENT_Y,False,175088860715.01306,-0.1744910170975798
131,22,1.0,0.1,0.0,DISPLACEMENT_Z,True,20288260826870.625,0.0
