equation_id,node,x,y,z,variable,fixed,K_diag,null_vector
66,12,0.5,0.1,0.0,ROTATION_X,False,63030150903.33019,3.2442104558327856e-13
67,12,0.5,0.1,0.0,ROTATION_Y,False,63030150903.330215,-0.18349396085474995
68,12,0.5,0.1,0.0,ROTATION_Z,False,874065088.0191935,3.433181256645712e-12
69,12,0.5,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,-2.279704203189681e-13
70,12,0.5,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0261,1.0868875244263165e-12
71,12,0.5,0.1,0.0,DISPLACEMENT_Z,False,38797333586666.94,0.09174698042708491
72,13,0.6,0.0,0.0,ROTATION_X,False,49237995344.61461,9.72343733307568e-13
73,13,0.6,0.0,0.0,ROTATION_Y,False,49237995344.61463,-0.18349396085455866
74,13,0.6,0.0,0.0,ROTATION_Z,False,708712467.4874812,3.483118632928439e-12
75,13,0.6,0.0,0.0,DISPLACEMENT_X,False,350177721430.0261,1.4520329383316266e-13
76,13,0.6,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0261,1.4473318377117295e-12
77,13,0.6,0.0,0.0,DISPLACEMENT_Z,False,37018145519592.625,0.11009637651247393
78,14,0.6,0.1,0.0,ROTATION_X,False,76822306462.04578,4.145538079480815e-13
79,14,0.6,0.1,0.0,ROTATION_Y,False,76822306462.0458,-0.18349396085456918
80,14,0.6,0.1,0.0,ROTATION_Z,False,1039417708.5509058,3.4901400346176725e-12
81,14,0.6,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,-2.0126261768282916e-13
82,14,0.6,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0261,1.4499235145848388e-12
83,14,0.6,0.1,0.0,DISPLACEMENT_Z,False,40576521653741.25,0.11009637651253087
84,15,0.7,0.0,0.0,ROTATION_X,False,76822306462.0458,8.856890915120985e-14
85,15,0.7,0.0,0.0,ROTATION_Y,False,76822306462.04579,-0.1834939608552755
86,15,0.7,0.0,0.0,ROTATION_Z,False,1039417708.5509063,3.485425598311054e-12
87,15,0.7,0.0,0.0,DISPLACEMENT_X,False,350177721430.02606,1.1123740817353678e-13
88,15,0.7,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0262,1.7335612112479026e-12
89,15,0.7,0.0,0.0,DISPLACEMENT_Z,False,40576521653741.234,0.12844577259797135
90,16,0.7,0.1,0.0,ROTATION_X,False,49237995344.61464,3.850027935348166e-13
91,16,0.7,0.1,0.0,ROTATION_Y,False,49237995344.61461,-0.18349396085464775
92,16,0.7,0.1,0.0,ROTATION_Z,False,708712467.4874816,3.482167679202952e-12
93,16,0.7,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,-2.4905077999903824e-13
94,16,0.7,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0262,1.7512484518089622e-12
95,16,0.7,0.1,0.0,DISPLACEMENT_Z,False,37018145519592.61,0.1284457725979944
96,17,0.8,0.0,0.0,ROTATION_X,False,49237995344.61464,-4.4238137458796345e-13
97,17,0.8,0.0,0.0,ROTATION_Y,False,49237995344.61461,-0.1834939608546206
98,17,0.8,0.0,0.0,ROTATION_Z,False,708712467.4874816,3.478101433165154e-12
99,17,0.8,0.0,0.0,DISPLACEMENT_X,False,350177721430.0261,8.140797064237759e-14
100,17,0.8,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0262,2.1383602354096976e-12
101,17,0.8,0.0,0.0,DISPLACEMENT_Z,False,37018145519592.61,0.1467951686834734
102,18,0.8,0.1,0.0,ROTATION_X,False,76822306462.0458,2.1164537136741934e-13
