#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.5676025124517642e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.3209420773556755e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.1357687848608775e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-8.8074403310715163e-07
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-5.6532826998033800e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-4.9568949362022672e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.5816987316990512e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-1.2544838460852484e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-2.9861463324255214e-08
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-6.8420209376594889e-08
