#,type,name,location_0,location_1,location_2,value
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.8945622859227146e-06
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.6170530677809545e-06
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3862482117443357e-06
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.0560709695361111e-06
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.1574126912492123e-07
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.4011176839564235e-07
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-3.9421741093752060e-07
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.8941581855689370e-07
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.0680566098332173e-07
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-1.4645439358542891e-08
